name,temp,humidity,precip,precipcover,windgust,solarradiation,solarenergy,uvindex,O3,SO2
bangkok,29.9,73.8,0.082,4.17,21.6,187.4,16.0,6,11.0,1.894736842105263
bangkok,30.5,71.8,0.0,0.0,21.2,219.3,19.0,7,14.0,1.25
bangkok,31.1,72.2,0.0,0.0,22.7,304.8,26.5,10,15.0,2.0
bangkok,30.8,74.5,0.0,0.0,23.4,286.5,24.7,9,11.0,1.894736842105263
bangkok,30.7,72.7,0.0,0.0,26.3,283.3,24.3,9,11.0,1.894736842105263
bangkok,30.7,73.6,0.0,0.0,27.7,295.7,25.6,10,8.0,3.5185185185185186
bangkok,31.0,70.6,0.0,0.0,29.2,141.0,12.4,5,9.0,3.342857142857143
bangkok,30.8,70.5,0.005,4.17,27.4,297.4,25.8,9,8.0,3.5185185185185186
bangkok,29.7,73.4,0.024,4.17,31.7,283.8,24.5,9,27.0,1.1428571428571428
bangkok,29.7,67.5,0.0,0.0,28.4,297.4,25.7,9,5.0,4.857142857142857
bangkok,27.0,85.8,28.092,25.0,28.4,271.6,23.4,9,4.0,1.0
bangkok,28.0,84.4,17.62,20.83,33.8,286.3,24.6,8,2.0,1.0
bangkok,28.4,82.1,1.438,16.67,25.9,280.2,24.2,9,5.0,4.857142857142857
bangkok,28.4,83.7,0.909,12.5,24.1,244.9,21.2,10,4.0,1.0
bangkok,28.7,82.7,1.154,4.17,22.0,86.1,7.3,8,4.0,1.0
bangkok,29.2,82.7,0.0,0.0,28.1,72.8,6.5,3,6.0,12.0
bangkok,30.8,73.7,0.0,0.0,28.8,150.0,12.9,6,7.0,22.541666666666668
bangkok,31.1,72.5,0.0,0.0,29.9,141.1,12.2,6,10.0,1.9230769230769231
bangkok,31.1,73.4,0.548,12.5,19.8,172.5,14.9,8,11.0,1.894736842105263
bangkok,30.4,73.3,0.951,12.5,25.9,149.1,13.0,7,18.0,1.8235294117647058
bangkok,30.2,71.8,21.171,8.33,23.0,184.0,15.9,7,27.0,1.1428571428571428
bangkok,31.5,66.9,0.185,4.17,21.6,211.6,18.2,8,13.0,2.15625
bangkok,30.9,64.2,0.0,0.0,33.8,209.4,18.1,8,15.0,2.0
bangkok,26.3,63.9,0.0,0.0,36.0,116.5,10.2,8,14.0,1.25
bangkok,22.8,72.6,1.852,4.17,25.9,114.6,9.9,7,23.0,1.2692307692307692
bangkok,27.2,58.4,0.0,0.0,23.0,219.2,19.1,8,25.0,1.0
bangkok,29.2,55.7,0.0,0.0,26.3,137.0,11.7,6,26.0,1.5
bangkok,31.4,54.1,0.0,0.0,27.7,213.1,18.5,8,18.0,1.8235294117647058
bangkok,30.4,55.5,0.0,0.0,29.2,182.0,15.7,10,29.0,3.923076923076923
bangkok,29.7,48.1,0.0,0.0,31.0,181.8,15.7,7,36.0,1.0
bangkok,30.3,50.3,0.0,0.0,22.7,161.5,13.8,6,29.0,3.923076923076923
bangkok,30.8,61.6,0.0,0.0,27.7,150.5,13.0,6,18.0,1.8235294117647058
bangkok,30.6,73.3,0.016,4.17,28.4,100.4,8.5,5,16.0,1.4242424242424243
bangkok,31.1,73.3,0.0,0.0,28.1,91.9,7.8,4,22.0,1.6206896551724137
bangkok,31.9,65.1,0.0,0.0,28.4,202.8,17.4,7,21.0,1.2222222222222223
bangkok,32.4,61.8,0.0,0.0,27.7,205.7,17.7,7,19.0,1.4482758620689655
bangkok,32.5,60.1,0.0,0.0,30.2,210.0,17.9,7,16.0,1.4242424242424243
bangkok,32.4,62.9,0.0,0.0,33.5,185.7,16.1,7,11.0,1.894736842105263
bangkok,30.7,72.0,0.285,4.17,32.4,112.2,9.6,6,10.0,1.9230769230769231
bangkok,28.3,81.5,13.364,8.33,20.981818181818184,106.4,9.2,4,12.0,1.125
bangkok,28.2,79.3,0.0,0.0,19.06,126.8,11.1,5,23.0,1.0
bangkok,30.4,68.6,0.331,8.33,22.54090909090909,180.4,15.6,7,14.0,1.25
bangkok,29.5,75.9,9.228,12.5,50.0,133.1,11.5,8,10.0,1.9230769230769231
bangkok,29.9,75.6,5.606,12.5,31.7,193.2,16.6,8,8.0,3.5185185185185186
bangkok,30.8,72.1,0.0,0.0,27.0,189.0,16.4,8,8.0,3.5185185185185186
bangkok,31.2,71.0,0.0,0.0,28.8,133.1,11.5,6,7.0,22.541666666666668
bangkok,31.6,71.3,0.0,0.0,31.0,206.1,17.8,7,7.0,22.541666666666668
bangkok,30.7,76.0,0.659,4.17,31.7,151.7,13.1,8,18.0,1.8235294117647058
